Record_ID,Supplier_ID,Supplier_Name,Supplier_Country,Supplier_Region,Warehouse_Location,Product_Category,Product_Type,SKU,Product_Value_USD,Lead_Time_Days,Order_Quantity,Stock_Level,Reorder_Point,Safety_Stock,Inventory_Turnover,On_Time_Delivery_Rate,Quality_Rating,Defect_Rate_Percent,Supplier_Responsiveness_Score,Supplier_Capacity_Utilization,Financial_Stability_Score,Transportation_Mode,Carrier_Name,Shipping_Time_Days,Customs_Clearance_Time_Days,Transportation_Cost_USD,Geopolitical_Risk_Score,Weather_Risk_Score,Demand_Volatility,Supply_Volatility,Port_Congestion_Level,Supplier_Dependency_Score,Alternative_Suppliers_Available,Single_Source_Risk,Historical_Disruptions_Count,Average_Delay_Days,Contract_Compliance_Rate,Communication_Response_Time_Hours,Total_Annual_Spend_USD,Payment_Terms_Days,Price_Volatility_Percent,Production_Dependency_Level,Customer_Impact_Score,Revenue_At_Risk_USD,Disruption_Risk,Date,Disruption_Probability
SC00001,SUP041,Pacific Traders,Japan,North America,Houston,Raw Materials,Finished Good,SKU5140,190397.36,9,7241,128,1299,966,2.61,80.54,97.44,6.53,74.9,60.9,95.2,Sea Freight,UPS,43,6,42040.79,2.2,8.9,4.6,3.8,0.7,0.6,1,No,10,1.5,80.02,67.1,3969077.82,45,4.9,High,9.4,725391.25,1,2024-06-30,32.12
SC00002,SUP008,Quantum Materials,Taiwan,Latin America,Los Angeles,Industrial Equipment,Semi-Finished,SKU8772,475603.58,22,1722,1014,741,241,8.9,80.78,72.48,0.15,68.4,53.9,58.7,Multimodal,DHL,33,5,2083.73,2.8,7.5,7.0,4.3,6.2,2.2,4,No,13,19.2,84.14,11.4,895235.03,45,4.17,Critical,10.0,549220.1,1,2025-07-24,28.78
SC00003,SUP002,Pacific Traders,Japan,Latin America,New York,Electronics,Raw Material,SKU3508,367337.0,32,8141,1799,1537,1414,8.9,98.55,79.7,5.89,87.8,78.7,52.5,Sea Freight,COSCO,30,5,47038.9,4.4,4.2,3.9,9.8,5.9,10.0,2,No,2,8.7,70.8,45.9,231704.51,30,14.39,Critical,2.8,384428.73,1,2025-11-06,42.16
SC00004,SUP048,Quantum Materials,Vietnam,North America,Dallas,Raw Materials,Semi-Finished,SKU4366,301335.95,46,441,4612,1197,848,11.31,80.09,65.34,1.67,97.8,54.9,90.9,Rail,Kuehne+Nagel,12,4,44657.68,1.7,5.2,1.6,0.9,2.8,4.3,2,Yes,1,12.5,72.76,43.1,968594.28,90,11.58,Medium,5.8,648117.92,0,2024-11-06,18.84
SC00005,SUP018,Nexus Logistics,South Korea,Europe,Seattle,Electronics,Assembly,SKU1152,82229.23,26,2174,1518,1340,752,6.97,84.23,95.03,1.06,99.8,72.5,94.4,Air Freight,FedEx,15,3,27008.33,8.7,3.7,4.0,9.2,9.1,7.0,0,Yes,5,13.3,90.58,9.6,3836963.79,45,16.5,High,4.5,908288.62,1,2025-12-24,45.58
SC00006,SUP016,Tech Components Ltd,South Korea,Europe,Chicago,Chemicals,Assembly,SKU5933,82217.29,25,8092,4181,1126,800,4.3,83.66,90.59,5.11,78.0,97.0,72.5,Sea Freight,XPO Logistics,18,3,27407.98,7.0,7.4,5.8,4.8,3.0,1.8,2,No,12,10.9,82.87,24.1,2055374.06,30,19.87,Low,5.6,416680.38,1,2024-06-17,44.92
SC00007,SUP015,Velocity Suppliers,India,Europe,Boston,Raw Materials,Component,SKU7895,33751.39,10,745,1198,1067,1097,2.45,87.29,98.14,2.56,70.1,97.6,77.8,Air Freight,UPS,28,2,32862.01,0.9,7.8,9.5,6.2,4.5,6.1,3,No,6,4.1,95.94,41.0,4368976.56,90,18.78,High,1.6,314410.03,0,2025-05-18,24.37
SC00008,SUP009,Velocity Suppliers,South Korea,Latin America,Phoenix,Automotive Parts,Assembly,SKU2654,433757.19,5,4363,3873,1927,148,6.16,91.19,92.36,0.46,77.7,62.0,55.4,Sea Freight,Maersk,23,9,19658.98,6.5,7.6,0.7,8.3,5.4,7.3,3,No,4,15.1,90.84,14.3,2647302.33,45,23.56,Medium,8.6,388436.94,0,2025-03-17,33.45
SC00009,SUP048,Express Logistics,Taiwan,Latin America,Seattle,Consumer Goods,Assembly,SKU9524,302551.93,9,8901,2474,218,1425,5.02,72.88,75.98,1.1,93.9,81.2,88.0,Multimodal,COSCO,14,7,32537.5,6.5,7.2,5.1,3.6,1.0,3.1,1,Yes,0,16.1,70.24,57.8,160139.24,60,9.96,Critical,9.1,435397.63,1,2024-05-17,26.7
SC00010,SUP007,Pacific Traders,Germany,Europe,New York,Pharmaceuticals,Raw Material,SKU5423,355495.93,45,6236,3485,631,980,9.61,83.51,73.68,0.01,68.2,73.7,77.9,Multimodal,Kuehne+Nagel,30,6,2716.04,9.6,2.0,3.3,4.3,9.3,8.3,0,Yes,2,11.1,88.5,70.0,3597732.37,90,5.16,High,4.5,73561.03,1,2024-11-15,38.26
